id,date,message_type,message_content,media_path
665499,2025-02-03T04:12:04+00:00,text,Gm guys,
665498,2025-02-03T04:11:55+00:00,sticker,[STICKER] CAADBQAD3AcAAoMvaFYUd7yNmnK48QI,media/sticker_665498.webp
665497,2025-02-03T04:02:46+00:00,text,Yeah 😭,
665495,2025-02-03T03:55:33+00:00,text,FULL RED,
665494,2025-02-03T03:55:26+00:00,text,DANGER MARKET,
665493,2025-02-03T03:55:02+00:00,file,[FILE] Money Rain.gif.mp4,media/video_665493.mp4
665492,2025-02-03T03:54:59+00:00,text,Ants will lead the bull run soon,
665491,2025-02-03T03:54:53+00:00,text,"It's okay, we are just getting started",
665490,2025-02-03T03:52:33+00:00,text,the market is collapsed already and there are no support 🥲🥲 already down by 40% +,
665489,2025-02-03T03:52:02+00:00,text,yess very strong💪,
665488,2025-02-03T03:51:51+00:00,text,good,
665487,2025-02-03T03:49:37+00:00,sticker,[STICKER] BAADBQADUxMAAh3ICFc6ZEF_wIvKkgI,media/sticker_665487.webp
665486,2025-02-03T03:49:34+00:00,text,Ants are strong !!,
665485,2025-02-03T03:49:28+00:00,text,Waiting for a good market to start,
665484,2025-02-03T03:49:18+00:00,text,Gm Gm Ants,
665483,2025-02-03T03:47:56+00:00,sticker,[STICKER] BAADBQADnw0AAqSSwVf1bXSMdL6iFQI,media/sticker_665483.webp
665481,2025-02-03T03:47:44+00:00,text,yes i have,
665480,2025-02-03T03:43:26+00:00,text,"i dont want to wake, after see the market 🥲",
665479,2025-02-03T03:38:20+00:00,text,Wake up buddy its 9 am,
665478,2025-02-03T03:38:01+00:00,text,Ok,
665477,2025-02-03T03:35:18+00:00,text,keep support💪,
665476,2025-02-03T03:34:54+00:00,text,"not yet still on bed 🛌 , have you done",
665475,2025-02-03T03:34:43+00:00,text,good morning🌄🙋,
665474,2025-02-03T03:33:47+00:00,text,had a breakfast sir 🥞☕,
665473,2025-02-03T03:33:08+00:00,sticker,[STICKER] BAADBQADKhEAAsSGCFV3Rmrg1A5v1AI,media/sticker_665473.webp
665472,2025-02-03T03:33:00+00:00,text,Monday $M Lift 🐜,
665471,2025-02-03T03:32:16+00:00,text,push the tank together👬👫 new day new beginning,
665470,2025-02-03T03:32:05+00:00,text,good morning all,
665469,2025-02-03T03:31:49+00:00,text,keep support💪,
665468,2025-02-03T03:31:43+00:00,sticker,[STICKER] CAADBAADTQ0AAoHiUFHmAqygEA-P-QI,media/sticker_665468.webp
665467,2025-02-03T03:31:31+00:00,sticker,[STICKER] BAADBAADexUAAkejCVNXPSJ4GPFRjQI,media/sticker_665467.webp
665466,2025-02-03T03:31:24+00:00,text,What is up bro,
665465,2025-02-03T03:31:18+00:00,sticker,[STICKER] CAADBAADShcAAngTsFI10a5sGl3A1wI,media/sticker_665465.webp
665464,2025-02-03T03:31:16+00:00,text,yes lets push 🖐👉,
665463,2025-02-03T03:29:35+00:00,text,2030,
665462,2025-02-03T03:28:28+00:00,text,Up,
665461,2025-02-03T03:27:12+00:00,sticker,[STICKER] CAADBQADSwUAAhcJWFSKgr2qwMXlngI,media/sticker_665461.webp
665460,2025-02-03T03:26:43+00:00,text,when t ge?,
665459,2025-02-03T03:26:43+00:00,sticker,[STICKER] BAADBQADqxUAAne5EFVphIn652slQAI,media/sticker_665459.webp
665458,2025-02-03T03:26:39+00:00,text,good morning🌄🙋,
665457,2025-02-03T03:17:52+00:00,sticker,[STICKER] CAADBQAD4wgAAin56FWVhx-HShpefQI,media/sticker_665457.webp
665456,2025-02-03T03:17:29+00:00,text,Gm gm gm gm gm,
665455,2025-02-03T03:07:25+00:00,sticker,[STICKER] CAADBAADHBYAAjQGqFJLItw64N96FwI,media/sticker_665455.webp
665454,2025-02-03T03:05:15+00:00,text,Market is red🤮,
665453,2025-02-03T03:04:13+00:00,text,Why red?,
665452,2025-02-03T03:03:49+00:00,text,Morning,
665451,2025-02-03T03:03:43+00:00,text,Red morning surr,
665450,2025-02-03T03:03:36+00:00,sticker,[STICKER] CAADBAAD1xUAAlHrcFB0hitvju6PCQI,media/sticker_665450.webp
665449,2025-02-03T03:03:23+00:00,text,Morning 🌄,
665448,2025-02-03T03:01:58+00:00,text,Im not,
665447,2025-02-03T03:01:55+00:00,text,No,
665446,2025-02-03T03:01:37+00:00,sticker,[STICKER] CAADBAADHBYAAjQGqFJLItw64N96FwI,media/sticker_665446.webp
665445,2025-02-03T03:01:35+00:00,text,All r sleeping,
665444,2025-02-03T03:01:29+00:00,sticker,[STICKER] CAADBAADShcAAngTsFI10a5sGl3A1wI,media/sticker_665444.webp
665443,2025-02-03T03:01:26+00:00,text,What is up dude,
665442,2025-02-03T03:01:19+00:00,text,yes,
665441,2025-02-03T03:01:07+00:00,text,Hehee. Yesss sir 😁❤️,
665440,2025-02-03T03:01:04+00:00,text,heii,
665439,2025-02-03T03:00:51+00:00,text,Enjoi,
665438,2025-02-03T03:00:26+00:00,text,Heillo,
665437,2025-02-03T03:00:20+00:00,text,hi,
665436,2025-02-03T03:00:18+00:00,text,hi,
665435,2025-02-03T03:00:13+00:00,text,It's Saraswati Puja today 😁❤️,
665434,2025-02-03T02:59:24+00:00,text,Hie saasei,
665433,2025-02-03T02:59:16+00:00,text,Lol,
